date,close,adj_close,volume
2020-07-16,47.02000045776367,47.02000045776367,420800
2020-07-17,47.16999816894531,47.16999816894531,488700
2020-07-20,47.040000915527344,47.040000915527344,414100
2020-07-21,48.150001525878906,48.150001525878906,476800
2020-07-22,47.470001220703125,47.470001220703125,312400
2020-07-23,48.310001373291016,48.310001373291016,563400
2020-07-24,47.20000076293945,47.20000076293945,329200
2020-07-27,47.34000015258789,47.34000015258789,539000
2020-07-28,46.41999816894531,46.41999816894531,345100
2020-07-29,45.91999816894531,45.91999816894531,947500
2020-07-30,47.13999938964844,47.13999938964844,988900
2020-07-31,46.2400016784668,46.2400016784668,694900
2020-08-03,45.40999984741211,45.40999984741211,554600
2020-08-04,44.2400016784668,44.2400016784668,643300
2020-08-05,45.939998626708984,45.939998626708984,524900
2020-08-06,44.880001068115234,44.880001068115234,452900
2020-08-07,46.27000045776367,46.27000045776367,672200
2020-08-10,48.25,48.25,489400
2020-08-11,50.18000030517578,50.18000030517578,856500
2020-08-12,50.15999984741211,50.15999984741211,450500
2020-08-13,48.970001220703125,48.970001220703125,369600
2020-08-14,48.59000015258789,48.59000015258789,343500
2020-08-17,47.869998931884766,47.869998931884766,389700
2020-08-18,43.959999084472656,43.959999084472656,821600
2020-08-19,43.7599983215332,43.7599983215332,557600
2020-08-20,44.29999923706055,44.29999923706055,837300
2020-08-21,43.400001525878906,43.400001525878906,714000
2020-08-24,43.900001525878906,43.900001525878906,741200
2020-08-25,43.47999954223633,43.47999954223633,959400
2020-08-26,42.95000076293945,42.95000076293945,462800
2020-08-27,42.70000076293945,42.70000076293945,430800
2020-08-28,43.43000030517578,43.43000030517578,1058500
2020-08-31,42.439998626708984,42.439998626708984,410800
2020-09-01,41.79999923706055,41.79999923706055,1060700
2020-09-02,41.189998626708984,41.189998626708984,1364500
2020-09-03,40.63999938964844,40.63999938964844,773600
2020-09-04,41.400001525878906,41.400001525878906,650600
2020-09-08,40.900001525878906,40.900001525878906,1817700
2020-09-09,40.0099983215332,40.0099983215332,953000
2020-09-10,39.11000061035156,39.11000061035156,878000
2020-09-11,38.97999954223633,38.97999954223633,417000
2020-09-14,38.939998626708984,38.939998626708984,491800
2020-09-15,37.41999816894531,37.41999816894531,560000
2020-09-16,39.040000915527344,39.040000915527344,955900
2020-09-17,40.279998779296875,40.279998779296875,830900
2020-09-18,39.68000030517578,39.68000030517578,1500200
2020-09-21,38.099998474121094,38.099998474121094,810800
2020-09-22,37.38999938964844,37.38999938964844,527900
2020-09-23,36.689998626708984,36.689998626708984,1144000
2020-09-24,36.09000015258789,36.09000015258789,579000
2020-09-25,35.970001220703125,35.970001220703125,785800
2020-09-28,37.08000183105469,37.08000183105469,913200
2020-09-29,35.93000030517578,35.93000030517578,438300
2020-09-30,36.16999816894531,36.16999816894531,412100
2020-10-01,36.0099983215332,36.0099983215332,638800
2020-10-02,36.52000045776367,36.52000045776367,538000
2020-10-05,37.119998931884766,37.119998931884766,814300
2020-10-06,36.72999954223633,36.72999954223633,907800
2020-10-07,38.2599983215332,38.2599983215332,1609800
2020-10-08,39.04999923706055,39.04999923706055,636800
2020-10-09,38.5099983215332,38.5099983215332,771700
2020-10-12,38.83000183105469,38.83000183105469,2217000
2020-10-13,38.119998931884766,38.119998931884766,557900
2020-10-14,39.150001525878906,39.150001525878906,460500
2020-10-15,40.0,40.0,397500
2020-10-16,39.29999923706055,39.29999923706055,356800
2020-10-19,39.380001068115234,39.380001068115234,480600
2020-10-20,40.18000030517578,40.18000030517578,474900
2020-10-21,38.02000045776367,38.02000045776367,763800
2020-10-22,38.88999938964844,38.88999938964844,394000
2020-10-23,38.4900016784668,38.4900016784668,347700
2020-10-26,38.5,38.5,710200
2020-10-27,37.349998474121094,37.349998474121094,855100
2020-10-28,36.31999969482422,36.31999969482422,550700
2020-10-29,37.95000076293945,37.95000076293945,762900
2020-10-30,38.4900016784668,38.4900016784668,847200
2020-11-02,39.08000183105469,39.08000183105469,577300
2020-11-03,40.209999084472656,40.209999084472656,1018100
2020-11-04,40.099998474121094,40.099998474121094,537700
2020-11-05,40.47999954223633,40.47999954223633,668600
2020-11-06,38.2400016784668,38.2400016784668,599100
2020-11-09,44.9900016784668,44.9900016784668,1011200
2020-11-10,45.540000915527344,45.540000915527344,1066500
2020-11-11,45.63999938964844,45.63999938964844,1457200
2020-11-12,43.349998474121094,43.349998474121094,936900
2020-11-13,45.08000183105469,45.08000183105469,414300
2020-11-16,47.790000915527344,47.790000915527344,496900
2020-11-17,48.150001525878906,48.150001525878906,503000
2020-11-18,49.0,49.0,995000
2020-11-19,48.040000915527344,48.040000915527344,679600
2020-11-20,47.869998931884766,47.869998931884766,376600
2020-11-23,49.689998626708984,49.689998626708984,921300
2020-11-24,53.400001525878906,53.400001525878906,1302600
2020-11-25,52.650001525878906,52.650001525878906,1362300
2020-11-27,52.4900016784668,52.4900016784668,497500
2020-11-30,50.599998474121094,50.599998474121094,713100
2020-12-01,51.560001373291016,51.560001373291016,332000
2020-12-02,53.0099983215332,53.0099983215332,459900
2020-12-03,53.029998779296875,53.029998779296875,399100
2020-12-04,55.790000915527344,55.790000915527344,313800
2020-12-07,53.779998779296875,53.779998779296875,327800
2020-12-08,54.0099983215332,54.0099983215332,276400
